protocol,model,seed,max_absolute_difference_mm,rms_difference_mm
replicate,phytoode_light,1,2.4531482267775573e-06,6.31946932116989e-07
replicate,phytoode_light,2,1.6354322269762633e-06,5.302559316078259e-07
replicate,phytoode_light,3,2.4531482267775573e-06,9.449840376873908e-07
replicate,phytoode_light_anchor,1,2.4531482267775573e-06,8.950163419285673e-07
replicate,phytoode_light_anchor,2,1.6354322269762633e-06,6.793075613131805e-07
replicate,phytoode_light_anchor,3,1.6354322269762633e-06,9.843209909377038e-07
time_holdout,phytoode_light,1,1.6354322269762633e-06,8.901000114747148e-07
time_holdout,phytoode_light,2,9.812592907110229e-06,3.9817609831516165e-06
time_holdout,phytoode_light,3,6.541728907905053e-06,3.2122300126502523e-06
time_holdout,phytoode_light_anchor,1,3.2708644539525267e-06,1.175493594018917e-06
time_holdout,phytoode_light_anchor,2,4.088580681127496e-06,1.919783471748815e-06
time_holdout,phytoode_light_anchor,3,2.3713766495347954e-05,9.243918611900881e-06
