dataset,model,split,rmse_mean,rmse_sd,relative_error_mean,relative_error_sd,n_seeds,lambda_ode,lambda_k
wheat,LSTM-NN,train,0.0343333333333333,0.0005773502691896,11.46944926458134,0.1928705714668774,3,,
wheat,LSTM-NN,val,0.074,0.0104403065089105,22.201408216521955,3.1322906312153265,3,,
wheat,LSTM-NN,test,0.0566666666666666,0.0127410099024109,19.13204161206412,4.301674087634944,3,,
wheat,Logi-PINN,train,0.0343333333333333,0.0025166114784235,11.46944926458134,0.8407033302070577,3,,
wheat,Logi-PINN,val,0.0663333333333333,0.0032145502536643,19.901262320215626,0.9644262488395364,3,,
wheat,Logi-PINN,test,0.0656666666666666,0.0030550504633038,22.17065998574489,1.0314591633685732,3,,
wheat,Logi-ODE,train,0.0972973345187225,,32.503306073053004,,1,,
wheat,Logi-ODE,val,0.0599008141782931,,17.971384163166366,,1,,
wheat,Logi-ODE,test,0.1059042303935416,,35.75583781381523,,1,,
wheat,Temp-ODE,train,0.089822876314801,,30.00637638906917,,1,,
wheat,Temp-ODE,val,0.0574134174229856,,17.22511780153077,,1,,
wheat,Temp-ODE,test,0.0934332723601909,,31.545339789643982,,1,,
wheat,RF,train,0.004874553600395,0.0001463367058662,1.628401316714968,0.048885478353752,3,,
wheat,RF,val,0.0880853248284839,5.4914062832623554e-05,26.427273708136585,0.0164752638618219,3,,
wheat,RF,test,0.0992905763479741,0.0004715058124272,33.52290773603417,0.1591918027709802,3,,
arabidopsis,Logi-ODE,train,4.94420677423477,,23.49990893748529,,1,,
arabidopsis,Logi-ODE,val,5.27441576123237,,26.19453808213966,,1,,
arabidopsis,Logi-ODE,test,5.17875999212265,,26.003955566765008,,1,,
arabidopsis,Temp-ODE,train,3.67778092622756,,17.480562768684894,,1,,
arabidopsis,Temp-ODE,val,4.1743230074644,,20.731104246630263,,1,,
arabidopsis,Temp-ODE,test,4.121226817369459,,20.69379527192765,,1,,
arabidopsis,RF,train,0.1527936275427466,0.0175008560580804,0.7262310209585289,0.0831819020669058,3,,
